matricula,mediaNotas,menorNota,maiorNota,quantidadeDisciplinasCursadas,quantidadeAprovacoes,quantidadeReprovacoes,mediaAprovadas,mediaReprovadas,cargaHorariaPassada,taxaDeSucesso,semestrePassado,anosMatriculado,menorNota_cat,maiorNota_cat,mediaNotas_cat,mediaAprovadas_cat,mediaReprovadas_cat,cargaHorariaPassada_cat
2010036948,6.02,5.1,7.7,5,5,0,6.02,0.0,300.0,1.0,2015.1,5,media,alta,media,media,baixa,media
2010037065,7.816666666666667,5.0,10.0,6,6,0,7.816666666666667,0.0,360.0,1.0,2015.1,5,media,,alta,alta,baixa,media
2010037081,6.477777777777778,5.3,8.1,9,9,0,6.477777777777778,0.0,510.0,1.0,2015.1,5,media,alta,media,media,baixa,alta
2010037090,5.85,0.0,8.9,4,3,1,7.8,0.0,240.0,0.75,2015.1,5,baixa,alta,media,alta,baixa,baixa
2010037103,4.374999999999999,0.8,6.7,8,4,4,6.0,2.75,510.0,0.5,2015.1,5,baixa,media,baixa,media,baixa,alta
2010037120,2.2600000000000002,0.0,6.3,5,2,3,5.65,0.0,300.0,0.4,2015.1,5,baixa,media,baixa,media,baixa,media
2010037138,7.500000000000001,5.2,9.3,6,6,0,7.500000000000001,0.0,330.0,1.0,2015.1,5,media,alta,alta,alta,baixa,media
2010037146,0.0,0.0,0.0,1,0,1,0.0,0.0,90.0,0.0,2015.1,5,baixa,baixa,baixa,baixa,baixa,muito_baixa
2010037219,0.0,0.0,0.0,3,0,3,0.0,0.0,180.0,0.0,2015.1,5,baixa,baixa,baixa,baixa,baixa,baixa
2010037294,5.675,5.0,6.4,4,4,0,5.675,0.0,240.0,1.0,2015.1,5,media,media,media,media,baixa,baixa
2010037332,4.166666666666667,3.0,5.6,3,1,2,5.6,3.45,180.0,0.3333333333333333,2015.1,5,baixa,media,baixa,media,baixa,baixa
2010037359,5.466666666666666,0.3,9.3,6,4,2,7.824999999999999,0.75,360.0,0.6666666666666666,2015.1,5,baixa,alta,media,alta,baixa,media
2010037391,6.88,5.0,8.6,5,5,0,6.88,0.0,270.0,1.0,2015.1,5,media,alta,media,media,baixa,baixa
2010037421,6.925,5.0,8.4,4,4,0,6.925,0.0,270.0,1.0,2015.1,5,media,alta,media,media,baixa,baixa
2010037472,3.4333333333333336,0.4,7.5,3,1,2,7.5,1.4,200.0,0.3333333333333333,2015.1,5,baixa,alta,baixa,alta,baixa,baixa
2010037570,6.771428571428571,5.0,8.1,7,7,0,6.771428571428571,0.0,420.0,1.0,2015.1,5,media,alta,media,media,baixa,alta
2010037600,5.1,5.1,5.1,1,1,0,5.1,0.0,60.0,1.0,2015.1,5,media,media,media,media,baixa,muito_baixa
2010037618,0.0,0.0,0.0,3,0,3,0.0,0.0,170.0,0.0,2015.1,5,baixa,baixa,baixa,baixa,baixa,baixa
2010037626,0.15,0.0,0.6,4,0,4,0.0,0.15,290.0,0.0,2015.1,5,baixa,baixa,baixa,baixa,baixa,media
2010037677,4.8999999999999995,0.7,6.4,6,5,1,5.739999999999999,0.7,450.0,0.8333333333333334,2015.1,5,baixa,media,baixa,media,baixa,alta
2010037707,7.0,2.2,10.0,5,4,1,8.2,2.2,300.0,0.8,2015.1,5,baixa,,alta,alta,baixa,media
2010037723,4.46,0.0,6.9,5,3,2,6.566666666666666,1.3,340.0,0.6,2015.1,5,baixa,media,baixa,media,baixa,media
2010037812,6.085714285714286,4.3,6.9,7,6,1,6.383333333333334,4.3,390.0,0.8571428571428571,2015.1,5,baixa,media,media,media,baixa,media
2010037839,8.675,8.1,9.1,4,4,0,8.675,0.0,240.0,1.0,2015.1,5,alta,alta,alta,alta,baixa,baixa
2010037863,3.3714285714285714,0.5,8.2,7,3,4,6.3999999999999995,1.0999999999999999,390.0,0.42857142857142855,2015.1,5,baixa,alta,baixa,media,baixa,media
2010037910,0.04,0.0,0.2,5,0,5,0.0,0.04,350.0,0.0,2015.1,5,baixa,baixa,baixa,baixa,baixa,media
2010037979,2.9,0.0,5.5,4,2,2,5.45,0.35,210.0,0.5,2015.1,5,baixa,media,baixa,media,baixa,baixa
2010038010,0.0,0.0,0.0,3,0,3,0.0,0.0,210.0,0.0,2015.1,5,baixa,baixa,baixa,baixa,baixa,baixa
2010038061,6.8,5.9,8.1,5,5,0,6.8,0.0,300.0,1.0,2015.1,5,media,alta,media,media,baixa,media
2010038096,7.485714285714285,6.0,10.0,7,7,0,7.485714285714285,0.0,420.0,1.0,2015.1,5,media,,alta,alta,baixa,alta
2010038142,5.233333333333333,3.2,6.4,6,5,1,5.640000000000001,3.2,360.0,0.8333333333333334,2015.1,5,baixa,media,media,media,baixa,media
2010038240,3.528571428571429,0.0,9.3,7,3,4,7.3,0.7,455.0,0.42857142857142855,2015.1,5,baixa,alta,baixa,alta,baixa,alta
2010038339,3.7750000000000004,0.8,6.5,4,2,2,5.75,1.7999999999999998,210.0,0.5,2015.1,5,baixa,media,baixa,media,baixa,baixa
2010038371,5.699999999999999,5.2,6.1,3,3,0,5.699999999999999,0.0,180.0,1.0,2015.1,5,media,media,media,media,baixa,baixa
2010038380,5.5,3.0,8.0,5,3,2,6.8,3.55,300.0,0.6,2015.1,5,baixa,alta,media,media,baixa,media
2010038460,6.233333333333333,3.9,7.8,6,5,1,6.7,3.9,360.0,0.8333333333333334,2015.1,5,baixa,alta,media,media,baixa,media
2010038550,6.066666666666666,4.7,6.7,6,5,1,6.340000000000001,4.7,330.0,0.8333333333333334,2015.1,5,baixa,media,media,media,baixa,media
2010038576,7.233333333333333,6.3,7.8,6,6,0,7.233333333333333,0.0,360.0,1.0,2015.1,5,media,alta,alta,alta,baixa,media
2010038622,2.55,0.0,6.3,6,2,4,5.85,0.8999999999999999,390.0,0.3333333333333333,2015.1,5,baixa,media,baixa,media,baixa,media
2010038720,0.08,0.0,0.2,5,0,5,0.0,0.08,345.0,0.0,2015.1,5,baixa,baixa,baixa,baixa,baixa,media
2010038762,3.983333333333333,0.8,6.7,6,3,3,5.833333333333333,2.1333333333333333,450.0,0.5,2015.1,5,baixa,media,baixa,media,baixa,alta
2010038789,4.38,0.2,7.7,5,2,3,6.800000000000001,2.766666666666666,350.0,0.4,2015.1,5,baixa,alta,baixa,media,baixa,media
2010038886,5.4625,2.9,6.7,8,7,1,5.828571428571428,2.9,510.0,0.875,2015.1,5,baixa,media,media,media,baixa,alta
2010038894,5.4,5.4,5.4,1,1,0,5.4,0.0,60.0,1.0,2015.1,5,media,media,media,media,baixa,muito_baixa
2010038932,0.06,0.0,0.3,5,0,5,0.0,0.06,370.0,0.0,2015.1,5,baixa,baixa,baixa,baixa,baixa,media
2010038940,3.8142857142857145,0.7,6.1,7,3,4,5.666666666666667,2.425,420.0,0.42857142857142855,2015.1,5,baixa,media,baixa,media,baixa,alta
2010039041,4.26,0.3,8.4,5,3,2,6.5,0.9,300.0,0.6,2015.1,5,baixa,alta,baixa,media,baixa,media
2010039050,3.1,0.0,6.2,2,1,1,6.2,0.0,150.0,0.5,2015.1,5,baixa,media,baixa,media,baixa,baixa
2010039092,5.428571428571429,3.3,6.6,7,5,2,5.9,4.25,420.0,0.7142857142857143,2015.1,5,baixa,media,media,media,baixa,alta
2010039149,3.6999999999999997,1.0,7.0,6,2,4,6.15,2.475,360.0,0.3333333333333333,2015.1,5,baixa,alta,baixa,media,baixa,media
2010039270,1.3800000000000001,0.0,6.9,5,1,4,6.9,0.0,335.0,0.2,2015.1,5,baixa,media,baixa,media,baixa,media
